Año_mes,Celula,Asesor,0021_meta,0022_ventas,0031_ventas_mismo_mes,0032_ventas_mes_anterior,0033_ventas_0_a_100,0024_seg_atrasados,0025_seg_abiertos,0026_descartes_totales,0027_seg_creados_mismo_mes,0028_descartes_mismo_mes,00291_descartes_dia,00292_avg_seg_creados_dia,0023_%_cumplimiento,0045_%_Efectividad_SQL,0044_%_Ventas_mercadeo,0041_%_Ventas_leads_mes,0042_%_Ventas_leads_mes_anterior,0043_%_Ventas_leads_cero_a_cien,0029_%_descarte_mismo_mes,Año,numero_mes,nombre_mes
202112,DG1,A7,79.0,55.0,26.0,3.0,15.0,4.0,10.0,57.0,69.0,35.0,0.0,3.3,0.6962,0.3768,0.5273,0.4727,0.0545,0.2727,0.5072,2021,12,diciembre
202112,DG1,A16,79.0,43.0,19.0,5.0,11.0,1.0,73.0,35.0,78.0,21.0,2.0,3.7,0.5443,0.2436,0.5581,0.4419,0.1163,0.2558,0.2692,2021,12,diciembre
202112,DG1,A18,20.0,24.0,14.0,5.0,8.0,0.0,50.0,64.0,91.0,44.0,2.0,4.3,1.2,0.1538,0.7917,0.5833,0.2083,0.3333,0.4835,2021,12,diciembre
202112,DG1,A19,79.0,51.0,22.0,3.0,13.0,7.0,19.0,29.0,49.0,16.0,0.0,2.3,0.6456,0.449,0.4902,0.4314,0.0588,0.2549,0.3265,2021,12,diciembre
202112,DG1,A20,13.0,22.0,8.0,4.0,2.0,5.0,8.0,53.0,52.0,38.0,0.0,2.5,1.6923,0.1538,0.5455,0.3636,0.1818,0.0909,0.7308,2021,12,diciembre
202112,DG1,A26,79.0,26.0,6.0,2.0,1.0,1.0,26.0,47.0,47.0,22.0,0.0,2.2,0.3291,0.1277,0.3077,0.2308,0.0769,0.0385,0.4681,2021,12,diciembre
202112,DG1,A37,79.0,21.0,4.0,1.0,4.0,17.0,20.0,31.0,23.0,12.0,0.0,1.1,0.2658,0.1739,0.2381,0.1905,0.0476,0.1905,0.5217,2021,12,diciembre
202112,DG1,A40,20.0,17.0,10.0,2.0,6.0,9.0,41.0,55.0,65.0,30.0,0.0,3.1,0.85,0.1538,0.7059,0.5882,0.1176,0.3529,0.4615,2021,12,diciembre
202112,DG1,A71,79.0,36.0,22.0,1.0,16.0,4.0,68.0,128.0,159.0,86.0,6.0,7.6,0.4557,0.1384,0.6389,0.6111,0.0278,0.4444,0.5409,2021,12,diciembre
202112,DG1,A91,79.0,46.0,22.0,4.0,13.0,3.0,27.0,55.0,73.0,34.0,0.0,3.5,0.5823,0.3014,0.5652,0.4783,0.087,0.2826,0.4658,2021,12,diciembre
202112,DG1,A94,20.0,23.0,9.0,1.0,4.0,55.0,63.0,39.0,60.0,28.0,0.0,2.9,1.15,0.15,0.4348,0.3913,0.0435,0.1739,0.4667,2021,12,diciembre
202112,DG1,A99,79.0,34.0,7.0,0.0,4.0,2.0,25.0,89.0,94.0,74.0,1.0,4.5,0.4304,0.0745,0.2059,0.2059,0.0,0.1176,0.7872,2021,12,diciembre
202112,DG1,A101,79.0,43.0,6.0,5.0,2.0,0.0,35.0,60.0,51.0,30.0,3.0,2.4,0.5443,0.1176,0.2558,0.1395,0.1163,0.0465,0.5882,2021,12,diciembre
202112,DG1,A112,79.0,51.0,15.0,8.0,9.0,1.0,23.0,72.0,68.0,39.0,1.0,3.2,0.6456,0.2206,0.451,0.2941,0.1569,0.1765,0.5735,2021,12,diciembre
202112,DG2,A4,20.0,21.0,9.0,3.0,2.0,11.0,23.0,83.0,65.0,43.0,0.0,3.1,1.05,0.1385,0.5714,0.4286,0.1429,0.0952,0.6615,2021,12,diciembre
202112,DG2,A8,79.0,20.0,9.0,2.0,6.0,2.0,33.0,94.0,101.0,65.0,1.0,4.8,0.2532,0.0891,0.55,0.45,0.1,0.3,0.6436,2021,12,diciembre
202112,DG2,A9,13.0,20.0,14.0,2.0,10.0,2.0,31.0,121.0,131.0,95.0,8.0,6.2,1.5385,0.1069,0.8,0.7,0.1,0.5,0.7252,2021,12,diciembre
202112,DG2,A38,79.0,57.0,23.0,9.0,14.0,5.0,29.0,79.0,77.0,38.0,0.0,3.7,0.7215,0.2987,0.5614,0.4035,0.1579,0.2456,0.4935,2021,12,diciembre
202112,DG2,A45,79.0,81.0,50.0,5.0,25.0,1.0,34.0,129.0,163.0,91.0,0.0,7.8,1.0253,0.3067,0.679,0.6173,0.0617,0.3086,0.5583,2021,12,diciembre
202112,DG2,A57,79.0,29.0,9.0,3.0,5.0,7.0,48.0,90.0,101.0,55.0,7.0,4.8,0.3671,0.0891,0.4138,0.3103,0.1034,0.1724,0.5446,2021,12,diciembre
202112,DG2,A58,20.0,23.0,12.0,3.0,4.0,0.0,59.0,60.0,80.0,36.0,2.0,3.8,1.15,0.15,0.6522,0.5217,0.1304,0.1739,0.45,2021,12,diciembre
202112,DG2,A62,79.0,74.0,35.0,3.0,17.0,3.0,37.0,78.0,113.0,50.0,4.0,5.4,0.9367,0.3097,0.5135,0.473,0.0405,0.2297,0.4425,2021,12,diciembre
202112,DG2,A68,79.0,70.0,24.0,7.0,15.0,0.0,33.0,155.0,141.0,98.0,6.0,6.7,0.8861,0.1702,0.4429,0.3429,0.1,0.2143,0.695,2021,12,diciembre
202112,DG2,A93,79.0,54.0,7.0,2.0,2.0,2.0,27.0,86.0,60.0,43.0,0.0,2.9,0.6835,0.1167,0.1667,0.1296,0.037,0.037,0.7167,2021,12,diciembre
202112,DG2,A96,79.0,46.0,18.0,3.0,6.0,0.0,43.0,197.0,196.0,149.0,12.0,9.3,0.5823,0.0918,0.4565,0.3913,0.0652,0.1304,0.7602,2021,12,diciembre
202112,DG2,A97,79.0,23.0,10.0,2.0,7.0,2.0,22.0,138.0,134.0,105.0,14.0,6.4,0.2911,0.0746,0.5217,0.4348,0.087,0.3043,0.7836,2021,12,diciembre
202112,DG2,A107,55.0,40.0,23.0,4.0,16.0,2.0,67.0,34.0,79.0,22.0,4.0,3.8,0.7273,0.2911,0.675,0.575,0.1,0.4,0.2785,2021,12,diciembre
202112,DG3,A5,13.0,21.0,14.0,1.0,6.0,2.0,39.0,186.0,198.0,158.0,2.0,9.4,1.6154,0.0707,0.7143,0.6667,0.0476,0.2857,0.798,2021,12,diciembre
202112,DG3,A15,79.0,74.0,12.0,2.0,8.0,6.0,51.0,80.0,114.0,67.0,2.0,5.4,0.9367,0.1053,0.1892,0.1622,0.027,0.1081,0.5877,2021,12,diciembre
202112,DG3,A23,79.0,55.0,17.0,8.0,9.0,1.0,12.0,61.0,70.0,44.0,4.0,3.3,0.6962,0.2429,0.4545,0.3091,0.1455,0.1636,0.6286,2021,12,diciembre
202112,DG3,A27,13.0,29.0,18.0,4.0,11.0,1.0,24.0,157.0,173.0,135.0,5.0,8.2,2.2308,0.104,0.7586,0.6207,0.1379,0.3793,0.7803,2021,12,diciembre
202112,DG3,A41,79.0,40.0,16.0,4.0,9.0,0.0,0.0,105.0,73.0,57.0,0.0,3.5,0.5063,0.2192,0.5,0.4,0.1,0.225,0.7808,2021,12,diciembre
202112,DG3,A59,55.0,25.0,8.0,4.0,3.0,0.0,27.0,83.0,97.0,71.0,1.0,4.6,0.4545,0.0825,0.48,0.32,0.16,0.12,0.732,2021,12,diciembre
202112,DG3,A63,50.0,32.0,16.0,4.0,8.0,1.0,43.0,139.0,164.0,116.0,10.0,7.8,0.64,0.0976,0.625,0.5,0.125,0.25,0.7073,2021,12,diciembre
202112,DG3,A75,79.0,39.0,10.0,4.0,4.0,0.0,38.0,128.0,129.0,94.0,8.0,6.1,0.4937,0.0775,0.359,0.2564,0.1026,0.1026,0.7287,2021,12,diciembre
202112,DG3,A78,79.0,39.0,18.0,3.0,11.0,1.0,39.0,172.0,188.0,142.0,7.0,9.0,0.4937,0.0957,0.5385,0.4615,0.0769,0.2821,0.7553,2021,12,diciembre
202112,DG3,A85,79.0,63.0,10.0,4.0,4.0,0.0,57.0,105.0,119.0,95.0,6.0,5.7,0.7975,0.084,0.2222,0.1587,0.0635,0.0635,0.7983,2021,12,diciembre
202112,DG3,A95,79.0,83.0,35.0,10.0,17.0,1.0,37.0,100.0,142.0,84.0,4.0,6.8,1.0506,0.2465,0.5422,0.4217,0.1205,0.2048,0.5915,2021,12,diciembre
202112,DG3,A98,79.0,49.0,16.0,3.0,12.0,0.0,52.0,120.0,129.0,82.0,8.0,6.1,0.6203,0.124,0.3878,0.3265,0.0612,0.2449,0.6357,2021,12,diciembre
202112,DG3,A108,79.0,40.0,19.0,12.0,8.0,0.0,16.0,95.0,108.0,78.0,0.0,5.1,0.5063,0.1759,0.775,0.475,0.3,0.2,0.7222,2021,12,diciembre
202112,DG4,A17,20.0,26.0,18.0,3.0,7.0,0.0,38.0,135.0,121.0,75.0,9.0,5.8,1.3,0.1488,0.8077,0.6923,0.1154,0.2692,0.6198,2021,12,diciembre
202112,DG4,A21,79.0,47.0,24.0,4.0,9.0,0.0,17.0,224.0,211.0,174.0,14.0,10.0,0.5949,0.1137,0.5957,0.5106,0.0851,0.1915,0.8246,2021,12,diciembre
